link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341130&GUID=620529A9-E403-4072-B527-0390769DBF2F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve Street Closings for the Ann Arbor Marathon Running Event - Sunday, October 1, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341122&GUID=D9C13328-2B48-4C1B-973D-29AE84926F39&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,Resolution to Rename Southeast Area Park as Bicentennial Park,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341121&GUID=CCADEBC7-967D-4EFB-99AC-6DB1D672B32E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,Resolution to Approve the 2023 Transportation Asset Management Plan Update,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341123&GUID=5E05BF2E-18B8-477A-A2AE-201BCD33C33B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve the Installation of Traffic Calming Devices on Baldwin Avenue (Packard to Stadium) ($35,000)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341124&GUID=22E2AFE6-D66B-484E-9EEC-C3EC411A926D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve the Installation of Traffic Calming Devices on Manchester Road (Buckingham to Needham) ($35,000)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6344079&GUID=87261389-37D3-457C-A9F7-5005AA5188B2&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Support the Installation of ""Murals That Bridge"" Project by Mary Thiefels of TreeTown Murals Railroad Metal Overpasses and Concrete Underpass Project on Huron Street near North First Street and Authorize an Application for a MDOT Permit",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341125&GUID=F67B288E-F5EE-47A5-83F4-4EA741DA63A6&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve Amendment No. 2 to the Professional Services Agreement with NTH Consultants, Ltd. for the Barton Dam Right Embankment Remediation Project ($140,080.00, total contract $943,587.77)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341126&GUID=88FD777A-96C0-4239-8D14-A9CD0FEB9F10&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve Amendment No. 1 to the Professional Services Agreement with Geosyntec Consultants of Michigan, Inc. for Hydroelectric Dams - FERC Ninth Part 12D Inspections and Other Engineering Services pertaining to Barton Dam and Superior Dam 1 ($115,700.00; total contract amount $215,700.00) and to Appropriate $21,125.00 from the Water Supply System Fund (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341127&GUID=AB94776F-AC55-49C0-82C5-2860A32EAE82&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve a Master Content Subscription Agreement with OpenSesame Inc., for Learning and Development Content integrated into the UKG Learning and Development module for FY2024 - FY2026 and Appropriate Funding ($115,140.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6341129&GUID=81D90509-B428-46CA-AC6F-2CD8E333B2BB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution to Approve Annexation of Vacant Land on Traver Road, 5.23 Acres",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6343952&GUID=DF0DE993-130E-4D4C-BE04-3B662CBB77C3&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Accept and Appropriate a HUD Grant, Approve a Program Contract with HUD, and Approve a Subrecipient Agreement with the Ann Arbor Housing Development Corporation ($3,000,000.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6312253&GUID=410FA52E-92DB-42BA-98F5-4A2E0A257C44&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-1 - Motion to Adopt on Second Reading by Disch,"An Ordinance to Amend the Zoning Map, Being a Part of Section 5.10.2 of Chapter 55 of Title V of The Code of The City of Ann Arbor, (2670 & 2690 Ann Arbor-Saline Road - Rezoning from R1C Single-Family Dwelling District to O Office District) (CPC Recommendation: Approval - 8 Yeas and 0 Nays) (ORD-23-27)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
