link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6582964&GUID=ECBA9457-1C1C-4689-9C47-19D527ADBBB8&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586156&GUID=16899523-B740-4172-A7DF-56DE79526D25&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve Street Closings for the Dexter-Ann Arbor Run on Sunday, June 2, 2024",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586158&GUID=2C924C81-C131-49BE-9B9B-D159A18971A0&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Street Closing for The Event on Main - Wednesday, June 12 through Friday, June 14, 2024",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586157&GUID=ECF7EA70-225F-49D7-9A8B-99438F56F721&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve Street Closures for the A2 Artoberfest from 7:00 AM on Friday, October 11, 2024 through 9:00 PM on Sunday, October 13, 2024",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586149&GUID=26BDC911-1AAC-4D0C-8A42-1828AAF2124D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Recommend Approval of a Professional Services Agreement with OHM Advisors to provide Parks with an Asset Management Plan and Appropriate Necessary Funds ($729,104.00) (8 Votes Required)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586147&GUID=A43EBC8B-D790-4046-8E7D-3DD422E4DC13&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve Purchase of Palo Alto Firewalls from AmeriNet of Michigan, Inc. ($289,509.48) (GSA Schedule IT 70 - GS-35F-0511T)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6587157&GUID=543A0E82-F2B8-4FF3-AF98-FB8217F99966&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a Purchase Order to AmeriNet of Michigan, Inc. for a Three-Year Network Equipment Hardware and Software Support Agreement for FY2024-FY2027 ($327,950.64) (GSA Schedule IT 70 - GS-35F-0511T)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586148&GUID=4D362F3A-25F4-4044-8B20-E61ABB389E26&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,Resolution Authorizing Water and Sanitary Sewer Capital Recovery Charges for 6 Maple Village Cir.,Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586132&GUID=1AE40DF4-47BD-43B6-824D-94031D05E76A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve a One (1) Year General Services Contract with RNA Michigan Holdings, LLC for Right-of-Way Mowing and Landscaping Services, ITB-4727 ($171,655.00)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586141&GUID=CBD1636E-807E-487D-969A-C63229577DC9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Accept a Hazard Mitigation Grant and Appropriate Funds from the Federal Emergency Management Agency for the Purchase and Demolition of 124 Felch Street and 112 E Summit Street ($731,702.82) (8 Votes Required)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586379&GUID=B3508BE9-DB4E-47E0-8A81-92A84B88F042&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution to Approve a Construction Contract with CLI-Concrete Leveling Inc. for the 2024 Sidewalk Repair Project ($110,800.00)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6586380&GUID=790AEAA1-AC32-4FED-A085-4852F9122ED4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Approve a Construction Contract with Cadillac Asphalt, LLC (RFP No. 24-04, $7,299,000.00) for the 2024 Street Resurfacing Project, and to Appropriate $6,995,000.00 from the Street, Bridge, and Sidewalk Millage; $660,000.00 from the Sidewalk Construction Millage; $675,000.00 from the Stormwater Fund; $55,000.00 from the Sewage Disposal Fund; and $55,000.00 from the Water Supply System Fund (8 Votes Required)",Absent,TRUE,Absent,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
