link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6194535&GUID=0D7133F4-6401-4EEA-972A-477CD5559E4C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228985&GUID=3F4EF6F2-B676-4B71-BAB0-B2EBC24F72D2&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Close West Washington Street for the Ann Arbor YMCA Community Block Party on Saturday, June 10, 2023 from 9:00 AM until 6:00 PM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228986&GUID=8416EE4A-39D1-4B74-B523-D062A2F52A93&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Street Closing for The Event on Main - Thursday, June 22 - Friday, June 23, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228988&GUID=E5EB5B0F-4D76-44A7-9ED3-529385D68E82&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve Additional Street Closure for the Townie Party-Ann Arbor Mile on Sunday, July 16, 2023 from 8:00 AM until 12:00 Noon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228980&GUID=B550A405-6826-4974-9E73-183AA8A0EC52&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,Resolution to Approve First Amendment to 2111 Packard Development Agreement,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228966&GUID=A8B10CCC-009A-4126-8C5C-83D7B452D162&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve the Purchase of a Conservation Easement on the DeVine Property in Scio Township, Approve a Participation Agreement with Washtenaw County Parks and Recreation Commission, and Appropriate $206,367.00 (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228979&GUID=59B6C530-A7D5-4CCE-AC15-0EAEBA43C885&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a Construction Agreement with RAM Construction Services of Michigan, Inc. for Veterans Memorial Park Ice Arena Improvements RFP No. RFP#23-03  ($449,763.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228960&GUID=565C938C-07BC-4725-BBA4-29520CA6659B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve Purchasing Agreements for Utility Infrastructure Materials from Core and Main, LP (Not-to-Exceed $323,124.86), Ferguson (Not-to-Exceed $603,828.00), Everett J. Prescott, Inc. (Not-to-Exceed $322,743.10), and ETNA Supply Company (Not-to-Exceed $115,779.29) for One Year (ITB-4728)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228969&GUID=450CEC38-DE82-47E0-83ED-DDE46CDB4304&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve Amendment Number 6 to the Professional Services Agreement with Tetra Tech, Inc. for the Ann Arbor Landfill Monitoring and Maintenance Program, RFP 17-12, ($380,658.00, contingency $40,000.00, Total Contract $1,614,311.73)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6228961&GUID=0B42E2BF-BE8D-4D9B-A86E-746ACECA0F72&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve a 3-Year General Services Agreement with Prolime Corporation for the Removal of Water Treatment Plant Residual Limestone, RFP No. 23-07 (Estimated $457,600.00 Annually, Estimated $1,372,800.00 Contract Total)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
