link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175860&GUID=026C6560-B204-4FF5-B375-A1AB4ED690FA&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve a Contract with the Michigan Department of Transportation for the State and Hill Streets Improvements Project ($6,909,800.00) and to Appropriate $250,000.00 from the Street, Bridge, and Sidewalk Millage; $3,208,700.00 from the Major Street Fund; $302,700.00 from the Water Supply Fund; $252,850.00 from the Stormwater Fund; $67,750.00 from the Sanitary Fund (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175864&GUID=4D4CB075-A07A-49E1-B63B-33A86C19C71B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve a Construction Contract with Ajax Paving Industries, Inc. for the Research Park Drive Resurfacing Project. (RFP No. 23-10, $3,372,459.43)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175880&GUID=3AF2D61C-FE59-4EC1-A033-2AF3B933AECA&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Increase Purchasing Authority on the Construction Contract with E.T. MacKenzie Company for the Stadium/Washtenaw Area Utility Improvements Project ($5,343.54 Increase; $2,018,243.54 Total)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175877&GUID=818725F9-83DB-45A0-B158-6A75E9DE0A5B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve Construction Contract Change Order No. 2 with CB Asphalt Paving for Street Cut and Miscellaneous Pavement Repair - ITB No. 4624 and to Amend the FY23 Budget and Appropriate $750,000.00 from the Water Supply System Fund Balance ($1,300,00.00 increase, total contract $2,300,000.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175863&GUID=7E2F565A-6B47-4BDA-BA80-E5EBC67C7504&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve Sewer Televising and Cleaning General Services Agreements with Rogue Industrial Services, LLC (Not-to-Exceed $1,400,000.00) and Taplin Group, LLC (Not-to-Exceed $1,400,000.00) for Two-Years (RFP #23-14)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175865&GUID=E67F7CFB-AA62-4CEF-B66C-BDE8B239E5E8&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve a Construction Contract with A.F. Smith Electric Inc. for the Wheeler Center Lighting Improvements Project ($484,736.22)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175861&GUID=AB10039B-F47C-48AF-85AC-76992D8AA068&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve Amendment Number 2 to Ekos - Software License Agreement with GE Software, Inc dba EKOS for Upgrading the City’s Fuel System Hardware and Annual Software Maintenance and Support for FY 2023 - FY 2027 (not to exceed $27,000)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175866&GUID=3CD22C5A-A203-4702-8BEE-B547DD0BC9C9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,Resolution to Assess Certain Delinquent Municipal Utility Charges as a Tax and Ordering Collection Thereof,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175867&GUID=7024097F-36BA-496D-B79F-9758ACA55E08&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution Levying Certain Delinquent Municipal Solid Waste, Board Up, Clean Up, Vacant Property Inspection Fees, Housing Inspection Fees, False Alarm Fees, and Fire Inspection Fees as Special Assessments and Ordering Collection Thereof",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175875&GUID=3EBEB45E-C49E-42CD-B23C-D62FF2F5B022&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall pass,CA-5 - Motion to Approve as Amended by Eyer,"Resolution to Approve a Construction Contract with Fonson Company, Inc. for the West Madison - Madison Place Water Main and Resurfacing Project ($2,122,850) and to Appropriate $1,133,000 in Internal Contributing Funds (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175875&GUID=3EBEB45E-C49E-42CD-B23C-D62FF2F5B022&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall amendment,CA-5 - Motion to Amend by Eyer,Added mandatory OSHA training to the contract.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175876&GUID=66574821-37D8-41B1-877F-CEAA49007545&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall pass,CA-3,"Resolution to Approve a Construction Contract with Bailey Excavating, Inc. for the Brooks Street Improvements Project ($3,445,709.21) and to Appropriate $2,834,500.00 in Contributing Funds (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6122673&GUID=A5D97CFF-B226-417A-9440-D6301D5F0E39&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-1 - Motion to Adopt on Second Reading by Disch,An Ordinance to Amend Section 2:63 of Chapter 29 (Water Rates) of Title II of the Code of the City of Ann Arbor (ORD-23-12),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6122674&GUID=B86C7EFD-570D-4D6A-9631-9B1C10880908&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-2 - Motion to Adopt on Second Reading by Eyer,An Ordinance to Amend Section 2:69 of Chapter 29 (Stormwater Rates) of Title II of the Code of the City of Ann Arbor (ORD-23-13),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175883&GUID=A5A3C944-A3A3-47AA-B6B8-84A18290099C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,C-1 - Motion to Adopt on First Reading by Disch,"An Ordinance Authorizing the Issuance and Sale of Water Supply System Revenue Bonds, Series 2023, ($40,000,000.00) (Roll Call Vote Required - One Reading Only)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6172879&GUID=CA9AD0D0-616B-4CDD-9837-5EB8737C7733&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-1,Resolution Updating the City of Ann Arbor City Council Policy Agenda Committee,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6187805&GUID=11B66D8D-4018-4117-A5CE-C269D9C3A525&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-2,Resolution to Enter a Lease with Lee Maulbetsch to Farm the Maisel Property (8 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175874&GUID=E945C440-FB09-4237-9E62-C795DA36C57D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DB-1,Resolution to Dissolve the Brownfields Plan Review Committee,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,absent,TRUE,TRUE,TRUE,TRUE
