link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277072&GUID=3E16CF4E-11F7-4AF5-8881-4D3222D0A929&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277883&GUID=B31CDFB1-81E5-4F6F-9E98-9A7C5CC2434A&Options=&Search=,consent pass,CA-1,"Resolution to Approve a Construction Contract with D&R Earthmoving, LLC for the Landfill Cover Improvements Project - RFP# 23-20 ($236,704.35) and to Appropriate $236,704.00 from the Solid Waste Fund (8 Votes Required)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277942&GUID=37D262F7-40F3-4A17-BE71-AC4E534C78B7&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve a Best Source Purchase Order with Universal Filtration & Pumping Solutions, Inc. for a Pump Hydraulic Unit and Control Panel ($60,790.00)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277943&GUID=7298136D-3033-4D5A-A714-E79135093842&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a General Services Agreement with Utilities Instrumentation Services, Inc for On Call Electrical and Instrumentation Support Services at the Wastewater Treatment Plant, RFP #23-32 (Not to exceed $100,000.00)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279159&GUID=6E934724-BA86-495D-9EBF-A224174BA0AB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve a Contract with Fiber Optic Management, LLC d/b/a Turnkey Network Solutions for On-Demand Fiber Optic Architecture, Engineering, Design, and Construction RFP #23-31 (Not to Exceed $200,000.00 annually)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277903&GUID=51D8AD43-94F7-4F6A-95E2-84D44319CA67&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve the Installation of Traffic Calming Devices on Granger Avenue (S. Forest Avenue to Olivia Avenue) ($40,000.00)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277945&GUID=26C6507A-231C-4AE4-891D-03512EA2776C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve Renewal 3 to the Professional Services Agreement between Carlisle/Wortman Associates, Inc. and the City of Ann Arbor for On-Call Third Party Building, Rental, and Planning Services ($350,000.00)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279105&GUID=96A4B669-E8EA-49EA-BF5C-9F5E56001444&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,Resolution to Approve Street Closures for University of Michigan Football Games for the 2023 Season,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279106&GUID=FF937E54-1C47-401A-A561-C169AEAC4376&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Approve Changes to Traffic Patterns and Parking on Certain City Streets for the 2023 University of Michigan Student Move-In Program from August 23 - August 27, 2023",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279108&GUID=4FB62621-82F6-4E62-B1CF-3B97527E3DCC&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-12,"Resolution to Approve Street Closing for the NTI Block Party - Wednesday, August 2, 2023 from Noon to 1:00 AM on Thursday, August 3, 2023",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279107&GUID=949653D5-47A8-4FE2-A04F-2F8F34DBAF6C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-13,"Resolution to Approve Street Closings for the UA Plumbers & Pipefitters Block Party - Monday, August 14, 2023",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279158&GUID=EBE950E2-178B-4D49-A737-783043056B8F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pulled amendment,CA-3,"Resolution to Approve a Sole Source Purchase Order to Hach Company for Turbidimeters and Controllers ($79,776.00)",,,,Absent,,,,,,,
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6279103&GUID=4486E780-AEC1-44F1-ACA2-38933844EB7D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pulled amendment,CA-9,"Resolution to Sell 350 S. Fifth to the Ann Arbor Housing Development Corporation ($6,200,000.00) (8 Votes Required)",,,,Absent,,,,,,,
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6277944&GUID=7B980815-6A36-4F1D-913F-E52E43945CA7&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent rollcall pass,CA-7,"Resolution to Appropriate and Increase the FY24 SmartZone LDFA Budget by $400,000.00 (8 Votes Required)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
