link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6006197&GUID=EE972758-D4DD-4E63-99D8-6262DB39A740&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Close Washington Street between Fletcher and Thayer for the University of Michigan Presidential Inauguration Public Reception from 6:00 AM on Monday, March 6 until 8:00 PM on Wednesday, March 8, 2023",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5997018&GUID=C268FFB2-1EFA-4051-823F-2A17AC37B60D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Street Closings for the University of Michigan Big House 5K on Sunday, April 16, 2023",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6006198&GUID=6D109AF0-6F37-4698-AAA8-BC7E640B94D9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Close Streets for the Time to Teal 5K and Fun Run to Benefit the Michigan Ovarian Cancer Alliance (MIOCA) on Sunday, May 14, 2023",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6004568&GUID=B2901C44-9076-456E-BF65-20A1086C7106&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a Construction Contract with Doan Construction Co. for the Sanitary Manhole Raising Project ($1,479,493.00)",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6004567&GUID=BC0AB3BD-A239-40BD-A53C-6CD69A3094B1&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Accept and Appropriate a HUD Grant, Approve a Program Contract with HUD, and Approve a Subrecipient Agreement with the Ann Arbor Housing Commission ($3,000,000.00) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5997019&GUID=D8B2D981-884C-4BD6-932A-790CACADD4B3&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,Resolution to Adopt the Board of Review Guidelines for Poverty Exemptions from Property Taxation of Principal Residence Pursuant to MCL 211.7u,TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5968447&GUID=008274CF-4EAE-4030-A5F4-4511821B8716&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-1 - Motion to Adopt on Second Reading by Disch,"An Ordinance to Amend Sections 5.22.2 and 5.22.3, of Chapter 55 (Unified Development Code) of Title V of the Code of the City of Ann Arbor (Storm Water Management Systems) (ORD-23-02)",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5992467&GUID=1CD4C7AF-B1FF-4628-A114-08A1CAC0BA29&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-2 - Motion to Adopt on Second Reading by Disch,"An Ordinance to Amend Chapter 103 (Historic Preservation) of Title VIII of the Code of the City of Ann Arbor by Adding Section 8:425.15 Establishing the Robert and Erma Hayden House Historic District, 1201 Gardner Avenue (Robert and Erma Hayden House Study Committee Recommendation: Approval - 3 Yeas and 0 Nays) (ORD-23-03)",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=5968446&GUID=5185643A-F6C0-4FF9-9E50-B5B0ADE17156&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-3 - Motion to Adopt on Second Reading by Disch,"An Ordinance to Amend Chapter 55 (Zoning), Rezoning of 0.19 Acres from R4C (Multiple-Family Dwelling District) to PUD (Planned Unit Development District), 530 N. Division Street Zoning and Supplemental Regulations (CPC Recommendation: Approval - 8 Yeas and 0 Nays) (ORD-23-01)",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6005255&GUID=7531C6E2-3442-4270-B34A-2F3E834CF3CF&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,C-1 - Motion to Approve on First Reading by Disch,"An Ordinance to Amend Chapter 55 (Zoning), Zoning of 67.6 Acres from TWP (Township District) and R1C (Single-Family Dwelling District) to R4A (Multiple-Family Dwelling District), 1680 Dhu Varren Road, 1710 Dhu Varren Road, 2670 Pontiac Trail, 2672 Pontiac Trail, 2678 Pontiac Trail, and 2682 Pontiac Trail (CPC Recommendation: Approval - 9 Yeas and 0 Nays)",TRUE,TRUE,TRUE,TRUE,Absent,TRUE,Absent,TRUE,TRUE,TRUE,TRUE
