link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358445&GUID=7A99DD55-5C86-4477-9603-CD0C416FD8D4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve a Street Closure of Washington Street between Fletcher and Thayer Streets for the Dance Marathon at the University of Michigan’s 2023 Spook-a-Thon on Saturday, October 28, 2023 from 12:00 Noon until 6:00 PM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358441&GUID=927C9987-CD13-4C34-9C1A-E9F4D1EE6D10&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Amendment Number 1 to the Professional Services Agreement with ROWE Professional Services Company for Engineering Consulting Services (RFP #20-26) ($331,000.00) (Total Contract $781,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358444&GUID=5311A5DB-F08B-46DA-AED6-2F78EEC39B1E&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve Amendment No. 2 to the Professional Services Agreement with Wade Trim Associates, Inc. for Gallup Park Vehicle and Pedestrian Bridge Design (RFP No. 22-51) and Appropriate Funding ($537,593.52, Total Contract $878,720.60) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358434&GUID=2B155E6F-2FA7-41DB-925B-DD0026D2C813&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a Construction Contract with Anlaan Corporation for the Gallup Park Vehicle and Pedestrian Bridge Project and Appropriate Funding ($4,184,015.40) (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358438&GUID=7FD34266-79AB-493F-8021-A17B2E128A13&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve Change Order No. 1 and Ratify Emergency Purchase Order with Z Contractors, Inc. for the 2190 South State Street Retaining Wall Replacement Project, RFP 23-11; ($29,697.48 Increase, Total Contract Amount $209,443.53)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358431&GUID=33751DCB-2ED3-46CE-929F-1AB34D5F6ECD&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a Professional Services Agreement with Orchard, Hiltz & McCliment, Inc. for Engineering Design Services for the Pittsfield Village Improvements Project ($1,140,971.00) (RFP 23-34)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358415&GUID=B411EFDD-6EE0-41A2-8803-332345297491&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,Resolution No. 1 - Prepare Plans and Specifications for the Stone School Road - Special Assessment (District #64),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6323996&GUID=544D66E4-722C-49CC-936B-039259BA220B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve a General Services Agreement with Premier Power Maintenance Corporation (Premier Power) for Electrical Preventive Maintenance at the Wastewater Treatment Plant, RFP No. 23-33 ($111,778.40)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358428&GUID=2DD79FF4-5848-4C9F-A4FA-3826A704C0F7&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,Resolution Authorizing Water and Sanitary Sewer Capital Recovery Charges for 2118 Victoria Circle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6358429&GUID=2074BDA6-D8F4-4CBC-BE0D-AFF444851AC0&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,Resolution Authorizing Water and Sanitary Sewer Capital Recovery Charges for 2318 Newport Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
