link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6644975&GUID=5DA02BB8-8F13-4811-9133-C2B48809D302&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6644977&GUID=4DF63347-6F3A-4CE4-8C3F-4BC6405E6F92&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-2,Nominations and Reappointments  - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662053&GUID=23471A6C-33EC-420C-A6D7-C06360C92187&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Close N. Fourth Avenue and E. Ann Street for the 27th Annual African-American Downtown Festival, Friday, May 31, 2024 to Saturday, June 1, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662054&GUID=0D6C77DF-2A27-4467-9CAF-B6D34B3F46C6&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve Street Closings for the Firecracker 5K - Thursday, July 4, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662055&GUID=55414EC8-4CF1-45A4-A1D1-FF45DACD329C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve Street Closings for the 2024 Ann Arbor Jaycees Fourth of July Parade - Thursday, July 4, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662044&GUID=965B1837-98DA-47B4-97FA-E400DEC92384&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve Street Closings for the 2024 Rolling Sculpture Car Show - Friday, July 12, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662052&GUID=CFF5A58F-35A9-42B8-937B-1608E6940FB4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Close Streets for the Paint the Town Event on Tuesday, July 16, 2024 from 6:00 AM through 7:00 AM on Wednesday, July 17, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6646489&GUID=F68348B7-F5CC-4036-A71C-E6AAA1B2D689&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Close Streets for the Ann Arbor Mile-Dart for Art on Tuesday, July 16, 2024 from 3:00 PM until 6:00 AM on Wednesday, July 17, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662049&GUID=E35DD028-0046-4BF6-B9D7-BCB3EA38C6A4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve Street Closing for the Electricians NTI Block Party - Wednesday, July 31, 2024 from 10:00 A.M. until 1:00 A.M. on Thursday, August 1, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6662051&GUID=A17AE18A-3C87-4137-B8E8-164025F43E0C&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve Street Closings for the UA Block on Monday, August 12, 2024 from 10:00 AM until 1:00 AM on Tuesday, August 13, 2024",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
