link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6836973&GUID=4B68EBC8-28F0-40C4-966E-B3B0A4094FB6&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850564&GUID=A604FAD4-ACEC-4CFE-8295-CED84725EA43&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve Street Closing for the Out of the Darkness Walk on Sunday, October 6, 2024 from 6:00 AM until 4:00 PM",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850561&GUID=E39188DB-0DDC-4E20-A650-0676DE014F08&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve a General Services Agreement with Metro Detroit Integrated Systems LLC for Installation of Video Wall and Related Technology in the Emergency Operations Center ($105,795.75)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6851303&GUID=E9FD8BF5-886D-47E3-900A-BCCDC06210AA&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve the Grant Agreement Between the State of Michigan Department of Labor and Economic Opportunity (LEO) and the City of Ann Arbor, Accept the LEO Firefighters Turnout Gear Grant and Appropriate Funding in the Amount of $234,500.00 (8 Votes Required)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850557&GUID=5C3DB6FA-9795-4126-972C-18907C4CF8DD&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,Resolution to Prohibit On-Street Parking on the North Side of Pauline Boulevard from South Main Street to South Seventh Street,TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850550&GUID=4207D1D1-3844-41A7-8CF8-35EEF5B8F036&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve the Installation of Traffic Calming Devices on Arella Blvd (Stadium Blvd to Pauline Blvd) ($52,000.00) and to Appropriate $52,000.00 from the County Health Millage Fund, Fund Balance (8 Votes Required)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850556&GUID=0DBA0382-B32E-4576-8099-9A62743CE93B&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve a Professional Services Agreement with Quality Counts, LLC for As-Needed Traffic Count Services (RFP# 24-37; $50,000.00 per year for three years, $150,000.00 total)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850555&GUID=0344C97F-95C1-4A76-8507-B204D9AE8609&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve a Contract with the Michigan Department of Transportation for the 2024 Highway Safety Improvements Program (HSIP) Project ($624,500.00)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850554&GUID=FAA1F28C-501D-4B3B-85B5-A7E89416C6A5&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve a Two (2) Year Construction Contract with Watertap, Inc. for Watermain Line Stops and Insertable Valves (Not-to-Exceed $350,000.00, RFP 24-42)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6850560&GUID=68227980-FAD1-43CD-B136-7C3C692BACC1&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,"Resolution to Accept an Easement for Sidewalk at 2111 Packard Road from Packard ROW Owner, LLC (8 Votes Required)",TRUE,TRUE,TRUE,Absent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
