link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Song (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175882&GUID=5BF78063-4076-4C5C-81B2-051D9C16C318&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6184777&GUID=AEB156A7-F53E-48A5-9B46-FBF590410665&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-2,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6195020&GUID=98E6BF7F-236C-40D8-9D62-862B7D997C07&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Close N. Fourth Avenue and E. Ann Street for the 26th Annual African-American Downtown Festival, Friday, June 2, 2023 to Saturday, June 3, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6195021&GUID=CBF1D05D-4D98-4318-87A8-11FDEB446580&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve the 2023 Ann Arbor Jaycees Summer Carnival at Pioneer High School - June 19 to June 26, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6195011&GUID=3464DFFF-9672-4B43-81DC-A071688B42F9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Close Streets for the Townie Street Party - Ann Arbor Mile-Dart for Art on Sunday, July 16, 2023 from 8:00 AM until 12:00 Noon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6195018&GUID=34AAF8A2-BDD2-4B3E-8A12-16C7C1783F99&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Close Washington Street for the Townie Street Party - Saturday, July 15, 2023 until Tuesday, July 18, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6195019&GUID=7470925D-A947-4C0C-B00A-36B665D7309A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Appropriate $115,000.00 from the Maintenance Facility Unobligated Fund Balance to the Maintenance Facility Construction Project Budget for Final Project and Fund Closure (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6197112&GUID=C7FFD08D-0E4C-4494-840A-23DF6FA6C13D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,C-1 - Motion to Approve on First Reading by Disch,"An Ordinance to Amend Chapter 55 (Zoning), Rezoning of 1.2 Acres from R4C (Multiple-Family Residential) to PUD (Planned Unit Development District), 721 South Forest PUD Zoning and Supplemental Regulations, 721 South Forest (CPC Recommendation: Approval - 6 Yeas and 2 Nays)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175885&GUID=E033240D-ADA1-4AE5-ACC9-FEE71DEF8EE6&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-1,"Resolution to Reappoint Maisie A Weyhing, Brooks Curtis, Sara M Nedrich, Rita L. Mitchell, and Bridget L Gruber to the Environmental Commission (7 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175901&GUID=8139E48A-F605-4DB5-A5B7-4551A50D352A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-2,Resolution to Reappoint Elizabeth Riggs and Jason Boggs to the Greenbelt Advisory Commission,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6186454&GUID=5AF666EB-49DE-44D8-BA34-035D5B1BB3E8&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-3,Resolution to Appoint Kimmeka Pipkins and Stefani Carter to the Independent Community Police Oversight Commission (7 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175881&GUID=61D14FDD-0A57-42E3-98E3-C399CB540B2F&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-4,Resolution to Reappoint Non-resident Electors to Ann Arbor Boards and Commissions (7 Votes Required),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175872&GUID=50D3BCAE-8DEE-4951-AEB9-680304A18CD2&Options=&Search=,resolution pass,DS-1,"Resolution to Approve Fiscal Year 2024 Fee Adjustments for the Public Services Area - Engineering, Public Works, Systems Planning, Water Treatment Units and the Fleet and Facilities - Airport Unit of the City Administrator’s Office",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175873&GUID=7947583E-51A4-49C3-AFBD-8F925BEF8465&Options=&Search=,resolution pass,DS-2,Resolution to Approve FY 2024 Fee Adjustments for the Community Services Area,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6175884&GUID=1E292595-1C5B-4978-8A5C-E22D9F7EC508&Options=&Search=,resolution pass,DS-3,Resolution to Adopt Ann Arbor City Budget and Related Property Tax Millage Rates for Fiscal Year 2024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/View.ashx?M=F&ID=11973663&GUID=67ACFC3C-B0E2-4EB5-8999-4B9A3890EA38,resolution amendment pass,Budget Amendment #3,"Amendment to Appropriate $400,000 from FY 2024 Marijuana Excise Tax Rebate for Comprehensive Trauma-Informed Supportive Services and Case Management for Returning Citizens and Residents Impacted by the Criminal Legal System with Tenant-Based Vouchers ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/View.ashx?M=F&ID=11973663&GUID=67ACFC3C-B0E2-4EB5-8999-4B9A3890EA38,resolution amendment pass,Budget Amendment #2,"Amendment to Appropriate $100,000 from Marijuana Excise Tax Revenue to the Shelter Association of Washtenaw County ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/View.ashx?M=F&ID=11973663&GUID=67ACFC3C-B0E2-4EB5-8999-4B9A3890EA38,resolution amendment pass,Budget Amendment #1,"Amendment to Appropriate $500,000 from FY 2024 Marijuana Excise Tax Rebate to Eviction Prevention and Low-Income Youth Services ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/View.ashx?M=F&ID=11973663&GUID=67ACFC3C-B0E2-4EB5-8999-4B9A3890EA38,resolution amendment pass,Budget Amendment #4,Recognition of Parks Fairness Resolution with Budget Amendments ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=6204513&GUID=58311555-F835-411C-9C1A-B4C91D556BE8&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DS-4,Resolution Directing the City Administrator to Designate Southeast Area Park as the 2024 Bicentennial Park,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
